tc_true,t1,t2,dt,observations,tc_predicted,tc_days_after_t2,check_pass,RMSE,A,B,C1,C2,C,m,omega,phi,optimizer_success
2007-06-01,2004-12-30,2007-03-30,575,576,2007-09-16,170,True,0.02142623713713761,6.117829318168455,-0.00659452050624882,0.0006444830079857894,-0.00013529013638791392,0.0006585300058359311,0.6369394090968141,7.864729699961513,-0.2069159633516108,True
2007-06-01,2004-10-20,2007-03-30,625,626,2007-07-20,112,True,0.02244843783566799,6.051410106921888,-0.003709376523561014,-0.0002772682238600455,0.000298095995137636,0.00040711041534158987,0.7100198971010316,6.383305821420226,2.320011008061835,True
2007-06-01,2004-08-11,2007-03-30,675,676,2007-07-19,111,True,0.02341215158619119,6.0243478303744755,-0.0018443549804546113,0.0001865378194874767,7.570574022568096e-06,0.00018669138086739202,0.8077002646863455,6.0,0.04056239968846545,True
2007-06-01,2004-06-02,2007-03-30,725,726,2007-07-19,111,True,0.02313879217770731,6.024695402633172,-0.0018397693037962358,0.00018717244054272891,1.0697490217177137e-05,0.00018747788881803634,0.8081784863135859,6.0,0.05709101857639513,True
2007-06-01,2006-10-30,2007-05-02,125,126,2007-07-14,73,True,0.011680841788458943,6.351920920044796,-0.2641013132603868,0.010216531022434343,-0.009247928583071677,0.013780482183507132,0.1,9.700611559740514,-0.7356765619633228,True
2007-06-01,2006-08-21,2007-05-02,175,176,2007-08-13,103,True,0.015048197829618621,7.097109440420286,-0.7042158121832535,0.006369002665391116,0.01278555414974434,0.01428406769333595,0.1,6.0,1.108637403412269,True
2007-06-01,2006-06-12,2007-05-02,225,226,2007-10-15,166,True,0.014931228875549294,7.9532226395043155,-1.176301037735222,-0.01783136709118817,0.0007313517781218914,0.017846358949770973,0.1,6.0,3.1006007268867175,True
2007-06-01,2006-03-29,2007-05-02,275,276,2007-05-03,1,True,0.021006877783494665,5.961938076829934,-0.0009570038433640668,-0.00022694509562539016,0.00015026795910023555,0.00027218474601007226,0.9,7.711378029519423,2.5567349393147203,True
2007-06-01,2006-01-18,2007-05-02,325,326,2007-11-15,197,True,0.02098895310171498,6.078734701119629,-0.0010333707482823864,0.0001423054749015128,7.703016277747088e-05,0.00016181623578760183,0.9,9.826766995834191,0.4961403569579844,True
2007-06-01,2005-11-08,2007-05-02,375,376,2007-11-25,207,True,0.019674444246450536,6.084297031428452,-0.0010340912905606795,-9.251028199441818e-05,0.0001266708777711172,0.00015685554994960199,0.9,10.066269548189892,2.2015828405214664,True
2007-06-01,2005-08-30,2007-05-02,425,426,2008-03-13,316,True,0.020479505154813237,7.5017893027986995,-0.6149720090574102,-0.006259079680551241,-0.010912242926383358,0.012579869797891116,0.15822574525726157,13.0,-2.091565223896043,True
2007-06-01,2005-06-21,2007-05-02,475,476,2008-02-22,296,True,0.019801958953636956,7.158972555939584,-0.39837124284085845,0.01009599909738116,0.0005614909517175498,0.010111600756714136,0.19178393066869315,12.422968342018635,0.0555579603159535,True
2007-06-01,2005-04-12,2007-05-02,525,526,2007-09-28,149,True,0.021471794779094836,6.1401463497777495,-0.008171898835867615,-0.000555302982554748,0.0005668004932417635,0.0007934886272488757,0.6100475424769239,8.243770897529446,2.34594845799348,True
2007-06-01,2005-01-28,2007-05-02,575,576,2007-10-06,157,True,0.020747611260369,6.156152429994208,-0.009398168749813396,-0.0006538260406040498,-0.0005837710831261266,0.0008765142148683155,0.5927946148046163,8.464738622724894,-2.412739771665305,True
2007-06-01,2004-11-17,2007-05-02,625,626,2007-08-15,105,True,0.021530865184386735,6.075039785114146,-0.004389247220283533,0.00042957295827960435,0.0001809668031717738,0.0004661350773491545,0.6887403224128763,7.0283343759433645,0.39870825882955835,True
2007-06-01,2004-09-08,2007-05-02,675,676,2007-07-08,67,True,0.022314705163629215,6.027776811819797,-0.0025056942016640094,0.000271685640014154,-4.738574278390225e-05,0.0002757870475730915,0.7630450086445871,6.0,-0.17267689276682632,True
2007-06-01,2004-06-30,2007-05-02,725,726,2007-07-21,80,True,0.022933221694112972,6.023010991918504,-0.0016579542523235732,0.00016098614903108126,1.719048875441107e-05,0.00016190136838048355,0.8234295681031406,6.0,0.10637930141481951,True
