t1,t2,window_dt_requested,observations,window_calendar_days,tc_predicted,tc_days_after_t2,tc_search_upper_days_after_t2,tc_valid_upper_days_after_t2,positive_lppls_valid,RMSE,SSE,A,B,C1,C2,C,m,omega,phi,damping,optimizer_success
2006-12-11,2007-04-10,80,81,120.0,2007-05-19,39,40.0,24.0,False,0.010455049337415666,0.008853952588471457,5.897969418266807,0.012274579324528651,-0.0008021136605347787,-0.015088171643292595,0.015109477484740341,0.1,7.823998540767657,-1.6239080835519133,0.010383132837757233,True
2006-11-27,2007-04-10,90,91,134.0,2007-05-12,32,44.66666666666666,26.8,False,0.011652564916733658,0.01235618649162098,6.016340229813243,-0.052167735360853916,-0.009195237284466083,0.009356578111946937,0.01311861054695198,0.1531772904667983,6.0,2.3474979418161803,0.10152132503876612,True
2006-11-13,2007-04-10,100,101,148.0,2007-05-09,29,49.333333333333314,29.6,False,0.011241268418440264,0.012762977681197668,6.006412692350111,-0.0534955571895686,-0.007440607432050008,0.012854487685860902,0.014852625782124432,0.12476727116358972,6.0,2.0955067722389953,0.07489691034913588,True
2006-10-30,2007-04-10,110,111,162.0,2007-05-12,32,54.0,32.4,False,0.011329808308328134,0.014248465749684193,6.078205866294492,-0.10558129969548305,-0.012010477054227878,0.010756512682994518,0.01612309288472768,0.1,6.0,2.411217076727594,0.10914086650985465,True
2006-10-16,2007-04-10,120,121,176.0,2007-05-18,38,58.66666666666666,35.2,False,0.011729611633340324,0.016647638477348112,6.149162093739895,-0.14999140470232306,-0.01469871896416788,0.00392472733816087,0.015213672267618224,0.1,6.0,2.8806683280983334,0.16431645831884892,True
2006-10-02,2007-04-10,130,131,190.0,2007-05-30,50,63.333333333333314,38.0,False,0.013804043367518112,0.02496226134129402,6.287508395955064,-0.2348897653562621,-0.011024497264535395,-0.008197097107154059,0.013737974411093574,0.1,6.0,-2.5022421448058303,0.28496409335593886,True
2006-09-18,2007-04-10,140,141,204.0,2007-06-17,68,68.0,40.800000000000004,False,0.015725519519491582,0.03486816694626542,6.491978920693511,-0.3576997351702839,0.002692026231458991,-0.01305654955391132,0.013331184924252051,0.1,6.0,-1.3674636105918945,0.44719672607591154,True
2006-09-04,2007-04-10,150,151,218.0,2007-06-21,72,72.66666666666663,43.6,False,0.016660738370125303,0.04191461065870259,6.197877180180595,-0.09161252348232242,0.004025520013738151,-0.005638611393469092,0.006928113006264106,0.2335052839012214,6.0,-0.950788743224376,0.5146184414453898,True
2006-08-21,2007-04-10,160,161,232.0,2007-06-26,77,77.33333333333331,46.400000000000006,False,0.016804574331060466,0.04546538867014995,5.98908683807632,-0.000920819067558605,-2.5416336512963764e-05,-0.00013760170271178153,0.00013992933484770705,0.9,12.391198402047154,-1.7534471552842814,0.4779634999954068,True
2006-08-07,2007-04-10,170,171,246.0,2007-07-01,82,82.0,49.2,False,0.016174187751475243,0.044734343750815184,5.986344892567856,-0.0008572415166593696,0.00016135789950780848,-5.148524665889414e-05,0.0001693726729939018,0.9,6.0,-0.3088634996770453,0.7591911093210126,True
